"BRO-ID","kwaliteitsregime","in registratie sinds","tijdstip veldonderzoek","pomptype","buis",,,,
"GAR000000033257","IMBRO/A","2023-01-13T19:31:50+01:00","1986-05-27T13:00:00+02:00","onderwaterpomp","1",,,,
,,,,,,,,,
"parameter","sikb-id","aquo-code","analysedatum","analysemeetwaarde","eenheid meerwaarde","rapportagegrens","eenheid rapportagegres","limietsymbool","status kwaliteitscontrole"
"chloride","508","Cl","1986-05-27","14.1","mg/l",,,,"goedgekeurd"
"Geleidendheid","3548","GELDHD","1986-05-27","27.34","mS/m",,,,"goedgekeurd"
"Zuurgraad","1398","pH","1986-05-27","6.52","1",,,,"goedgekeurd"
"waterstofcarbonaat","374","HCO3","1986-05-27","34.2","mg/l",,,,"goedgekeurd"
"fosfor totaal","4188","Ptot","1986-05-27","0.06","mg/l",,,,"goedgekeurd"
"sulfaat","1508","SO4","1986-05-27","72.7","mg/l",,,,"goedgekeurd"
"kalium","920","K","1986-05-27","1.64","mg/l",,,,"goedgekeurd"
"magnesium","1125","Mg","1986-05-27","3.49","mg/l",,,,"goedgekeurd"
"ammonium","289","NH4","1986-05-27","0.11","mg/l",,,,"goedgekeurd"
"natrium","1262","Na","1986-05-27","9.44","mg/l",,,,"goedgekeurd"
"calcium","447","Ca","1986-05-27","35.1","mg/l",,,,"goedgekeurd"
"koolstof organisch","1318","Corg","1986-05-27","0.97","mg/l",,,,"goedgekeurd"
"nitraat","1270","NO3","1986-05-27","0.3","mg/l",,,"<","goedgekeurd"
,,,,,,,,,
