"BRO-ID","kwaliteitsregime","in registratie sinds","tijdstip veldonderzoek","pomptype","buis",,,,
"GAR000000000631","IMBRO/A","2022-11-25T11:06:01+01:00","2003-01-01T11:00:00+01:00","onbekend","1",,,,
,,,,,,,,,
"parameter","sikb-id","aquo-code","analysemeetwaarde","eenheid meetwaarde","status kwaliteitscontrole",,,,
"Temperatuur","1522","T","10.3","Cel","goedgekeurd",,,,
,,,,,,,,,
"parameter","sikb-id","aquo-code","analysedatum","analysemeetwaarde","eenheid meerwaarde","rapportagegrens","eenheid rapportagegres","limietsymbool","status kwaliteitscontrole"
"natrium","1262","Na","2003-01-01","12.47","mg/l",,,,"goedgekeurd"
"ammonium","289","NH4","2003-01-01","0.31","mg/l",,,,"goedgekeurd"
"nikkel","1267","Ni","2003-01-01","4.14","ug/l",,,,"goedgekeurd"
"nitraat","1270","NO3","2003-01-01","3.31","mg/l",,,,"goedgekeurd"
"zuurstof","1701","O2","2003-01-01","13.8","mg/l",,,,"goedgekeurd"
"lood","1116","Pb","2003-01-01","0.01","ug/l",,,,"onbeslist"
"fosfor totaal","4188","Ptot","2003-01-01","0.02","mg/l",,,,"goedgekeurd"
"sulfaat","1508","SO4","2003-01-01","36.81","mg/l",,,,"goedgekeurd"
"zink","1693","Zn","2003-01-01","22.22","ug/l",,,,"goedgekeurd"
"magnesium","1125","Mg","2003-01-01","4.83","mg/l",,,,"goedgekeurd"
"kalium","920","K","2003-01-01","1.04","mg/l",,,,"goedgekeurd"
"mangaan","1128","Mn","2003-01-01","0.1","ug/l",,,"<","onbeslist"
"Geleidendheid","3548","GELDHD","2003-01-01","4.9","mS/m",,,,"onbeslist"
"Zuurgraad","1398","pH","2003-01-01","6.86","1",,,,"goedgekeurd"
"aluminium","284","Al","2003-01-01","9.39","ug/l",,,,"goedgekeurd"
"arseen","310","As","2003-01-01","0.5","ug/l",,,,"goedgekeurd"
"calcium","447","Ca","2003-01-01","18.31","mg/l",,,,"goedgekeurd"
"cadmium","441","Cd","2003-01-01","0.01","ug/l",,,,"onbeslist"
"chloride","508","Cl","2003-01-01","17.45","mg/l",,,,"goedgekeurd"
"koper","971","Cu","2003-01-01","0.82","ug/l",,,,"goedgekeurd"
"ijzer","879","Fe","2003-01-01","5.0","ug/l",,,"<","goedgekeurd"
"waterstofcarbonaat","374","HCO3","2003-01-01","22.96","mg/l",,,,"goedgekeurd"
,,,,,,,,,
