"BRO-ID","kwaliteitsregime","in registratie sinds","tijdstip veldonderzoek","pomptype","buis",,,,
"GAR000000054899","IMBRO/A","2025-04-10T17:25:53+02:00","2005-02-28T11:00:00+01:00","onbekend","2",,,,
,,,,,,,,,
"parameter","sikb-id","aquo-code","analysemeetwaarde","eenheid meetwaarde","status kwaliteitscontrole",,,,
"Temperatuur","1522","T","11.3","Cel","goedgekeurd",,,,
,,,,,,,,,
"parameter","sikb-id","aquo-code","analysedatum","analysemeetwaarde","eenheid meerwaarde","rapportagegrens","eenheid rapportagegres","limietsymbool","status kwaliteitscontrole"
"arseen","310","As","2005-02-28","7.0","ug/l",,,,"goedgekeurd"
"chroom","517","Cr","2005-02-28","8.0","ug/l",,,,"goedgekeurd"
"koper","971","Cu","2005-02-28","10.0","ug/l",,,,"goedgekeurd"
"nikkel","1267","Ni","2005-02-28","24.0","ug/l",,,,"goedgekeurd"
"lood","1116","Pb","2005-02-28","10.0","ug/l",,,,"goedgekeurd"
"stikstof Kjeldahl","4064","NKj","2005-02-28","2.1","mg/l",,,,"goedgekeurd"
"aluminium","284","Al","2005-02-28","25.0","ug/l",,,"<","goedgekeurd"
"zink","1693","Zn","2005-02-28","16.0","ug/l",,,,"goedgekeurd"
"kalium","920","K","2005-02-28","55.0","mg/l",,,,"goedgekeurd"
"cadmium","441","Cd","2005-02-28","1.0","ug/l",,,,"goedgekeurd"
"natrium","1262","Na","2005-02-28","650.0","mg/l",,,,"goedgekeurd"
"nitriet","1273","NO2","2005-02-28","0.01","mg/l",,,,"goedgekeurd"
"calcium","447","Ca","2005-02-28","100.0","mg/l",,,,"goedgekeurd"
"magnesium","1125","Mg","2005-02-28","70.0","mg/l",,,,"goedgekeurd"
"ijzer","879","Fe","2005-02-28","5170.0","ug/l",,,,"goedgekeurd"
"mangaan","1128","Mn","2005-02-28","290.0","ug/l",,,,"goedgekeurd"
"ammonium","289","NH4","2005-02-28","1.1","mg/l",,,,"goedgekeurd"
"chloride","508","Cl","2005-02-28","930.0","mg/l",,,,"goedgekeurd"
"sulfaat","1508","SO4","2005-02-28","460.0","mg/l",,,,"goedgekeurd"
"waterstofcarbonaat","374","HCO3","2005-02-28","548.0","mg/l",,,,"goedgekeurd"
"nitraat","1270","NO3","2005-02-28","0.05","mg/l",,,,"goedgekeurd"
"Zuurgraad","1398","pH","2005-02-28","7.2","1",,,,"goedgekeurd"
"fosfor totaal","4188","Ptot","2005-02-28","0.15","mg/l",,,,"goedgekeurd"
"Geleidendheid","3548","GELDHD","2005-02-28","470.0","mS/m",,,,"goedgekeurd"
"fosfaat","1334","PO4","2005-02-28","0.12","mg/l",,,,"goedgekeurd"
,,,,,,,,,
