"BRO-ID","kwaliteitsregime","in registratie sinds","tijdstip veldonderzoek","pomptype","buis",,,,
"GAR000000062898","IMBRO/A","2025-04-11T10:14:36+02:00","1990-04-24T12:00:00+02:00","onbekend","1",,,,
,,,,,,,,,
"parameter","sikb-id","aquo-code","analysedatum","analysemeetwaarde","eenheid meerwaarde","rapportagegrens","eenheid rapportagegres","limietsymbool","status kwaliteitscontrole"
"ethylbenzeen","728","C2yBen","1990-04-24","0.2","ug/l",,,"<","goedgekeurd"
"benzeen","342","Ben","1990-04-24","0.1","ug/l",,,"<","goedgekeurd"
"chloride","508","Cl","1990-04-24","90.0","mg/l",,,,"goedgekeurd"
"Zuurgraad","1398","pH","1990-04-24","7.51","1",,,,"goedgekeurd"
"Geleidendheid","3548","GELDHD","1990-04-24","121.0","mS/m",,,,"goedgekeurd"
"tolueen","1568","Tol","1990-04-24","0.2","ug/l",,,"<","goedgekeurd"
,,,,,,,,,
