"BRO-ID","kwaliteitsregime","in registratie sinds","tijdstip veldonderzoek","pomptype","buis",,,,
"GAR000000056715","IMBRO/A","2025-04-10T20:08:08+02:00","2005-04-28T12:00:00+02:00","onbekend","1",,,,
,,,,,,,,,
"parameter","sikb-id","aquo-code","analysemeetwaarde","eenheid meetwaarde","status kwaliteitscontrole",,,,
"Temperatuur","1522","T","10.8","Cel","goedgekeurd",,,,
,,,,,,,,,
"parameter","sikb-id","aquo-code","analysedatum","analysemeetwaarde","eenheid meerwaarde","rapportagegrens","eenheid rapportagegres","limietsymbool","status kwaliteitscontrole"
"calcium","447","Ca","2005-04-28","75.0","mg/l",,,,"goedgekeurd"
"nitraat","1270","NO3","2005-04-28","0.05","mg/l",,,,"goedgekeurd"
"natrium","1262","Na","2005-04-28","11.0","mg/l",,,,"goedgekeurd"
"Zuurgraad","1398","pH","2005-04-28","7.8","1",,,,"goedgekeurd"
"kalium","920","K","2005-04-28","70.0","mg/l",,,,"goedgekeurd"
"magnesium","1125","Mg","2005-04-28","46.0","mg/l",,,,"goedgekeurd"
"ijzer","879","Fe","2005-04-28","2110.0","ug/l",,,,"goedgekeurd"
"mangaan","1128","Mn","2005-04-28","40.0","ug/l",,,,"goedgekeurd"
"ammonium","289","NH4","2005-04-28","0.98","mg/l",,,,"goedgekeurd"
"chloride","508","Cl","2005-04-28","12.0","mg/l",,,,"goedgekeurd"
"waterstofcarbonaat","374","HCO3","2005-04-28","552.0","mg/l",,,,"goedgekeurd"
"nitriet","1273","NO2","2005-04-28","0.01","mg/l",,,,"goedgekeurd"
"aluminium","284","Al","2005-04-28","25.0","ug/l",,,"<","goedgekeurd"
"arseen","310","As","2005-04-28","50.0","ug/l",,,,"goedgekeurd"
"cadmium","441","Cd","2005-04-28","1.0","ug/l",,,,"goedgekeurd"
"chroom","517","Cr","2005-04-28","5.0","ug/l",,,,"onbeslist"
"koper","971","Cu","2005-04-28","10.0","ug/l",,,,"goedgekeurd"
"nikkel","1267","Ni","2005-04-28","4.0","ug/l",,,,"goedgekeurd"
"lood","1116","Pb","2005-04-28","10.0","ug/l",,,,"goedgekeurd"
"zink","1693","Zn","2005-04-28","10.0","ug/l",,,,"goedgekeurd"
"stikstof Kjeldahl","4064","NKj","2005-04-28","2.2","mg/l",,,,"goedgekeurd"
"sulfaat","1508","SO4","2005-04-28","72.0","mg/l",,,,"goedgekeurd"
"fosfor totaal","4188","Ptot","2005-04-28","0.56","mg/l",,,,"goedgekeurd"
"fosfaat","1334","PO4","2005-04-28","0.03","mg/l",,,,"goedgekeurd"
"Geleidendheid","3548","GELDHD","2005-04-28","100.0","mS/m",,,,"goedgekeurd"
,,,,,,,,,
