"BRO-ID","kwaliteitsregime","in registratie sinds","tijdstip veldonderzoek","pomptype","buis",,,,
"GAR000000003809","IMBRO/A","2022-12-02T19:07:12+01:00","1985-11-07T11:00:00+01:00","onbekend","3",,,,
,,,,,,,,,
"parameter","sikb-id","aquo-code","analysemeetwaarde","eenheid meetwaarde","status kwaliteitscontrole",,,,
"Zuurgraad","1398","pH","7.2","1","goedgekeurd",,,,
"Geleidendheid","3548","GELDHD","680.0","mS/m","goedgekeurd",,,,
"waterstofcarbonaat","374","HCO3","1950.0","mg/l","goedgekeurd",,,,
,,,,,,,,,
"parameter","sikb-id","aquo-code","analysedatum","analysemeetwaarde","eenheid meerwaarde","rapportagegrens","eenheid rapportagegres","limietsymbool","status kwaliteitscontrole"
"natrium","1262","Na","1985-11-07","1050.0","mg/l",,,,"goedgekeurd"
"sulfaat","1508","SO4","1985-11-07","470.0","mg/l",,,,"goedgekeurd"
"calcium","447","Ca","1985-11-07","255.0","mg/l",,,,"goedgekeurd"
"magnesium","1125","Mg","1985-11-07","215.0","mg/l",,,,"goedgekeurd"
"ammonium","289","NH4","1985-11-07","77.8","mg/l",,,,"goedgekeurd"
"kalium","920","K","1985-11-07","76.0","mg/l",,,,"goedgekeurd"
"nitriet","1273","NO2","1985-11-07","0.09","mg/l",,,,"goedgekeurd"
"chloride","508","Cl","1985-11-07","1500.0","mg/l",,,,"goedgekeurd"
"fosfaat","1334","PO4","1985-11-07","7.82","mg/l",,,,"goedgekeurd"
"nitraat","1270","NO3","1985-11-07","0.22","mg/l",,,,"goedgekeurd"
"ijzer","879","Fe","1985-11-07","12000.0","ug/l",,,,"goedgekeurd"
,,,,,,,,,
