"BRO-ID","kwaliteitsregime","in registratie sinds","tijdstip veldonderzoek","pomptype","buis",,,,
"GAR000000059503","IMBRO/A","2025-04-11T00:19:14+02:00","1993-12-06T11:00:00+01:00","onbekend","1",,,,
,,,,,,,,,
"parameter","sikb-id","aquo-code","analysedatum","analysemeetwaarde","eenheid meerwaarde","rapportagegrens","eenheid rapportagegres","limietsymbool","status kwaliteitscontrole"
"arseen","310","As","1993-12-06","30.0","ug/l",,,,"goedgekeurd"
"ijzer","879","Fe","1993-12-06","800.0","ug/l",,,,"goedgekeurd"
"mangaan","1128","Mn","1993-12-06","1200.0","ug/l",,,,"goedgekeurd"
"ammonium","289","NH4","1993-12-06","4.03","mg/l",,,,"goedgekeurd"
"chloride","508","Cl","1993-12-06","8780.0","mg/l",,,,"goedgekeurd"
"sulfaat","1508","SO4","1993-12-06","365.0","mg/l",,,,"goedgekeurd"
"waterstofcarbonaat","374","HCO3","1993-12-06","700.0","mg/l",,,,"goedgekeurd"
"fosfaat","1334","PO4","1993-12-06","0.49","mg/l",,,,"goedgekeurd"
"kalium","920","K","1993-12-06","82.0","mg/l",,,,"goedgekeurd"
"zink","1693","Zn","1993-12-06","50.0","ug/l",,,,"goedgekeurd"
"nitraat","1270","NO3","1993-12-06","16.39","mg/l",,,,"goedgekeurd"
"magnesium","1125","Mg","1993-12-06","470.0","mg/l",,,,"goedgekeurd"
"calcium","447","Ca","1993-12-06","630.0","mg/l",,,,"goedgekeurd"
"Geleidendheid","3548","GELDHD","1993-12-06","2159.0","mS/m",,,,"goedgekeurd"
"Zuurgraad","1398","pH","1993-12-06","6.8","1",,,,"goedgekeurd"
"natrium","1262","Na","1993-12-06","4360.0","mg/l",,,,"goedgekeurd"
,,,,,,,,,
