"BRO-ID","kwaliteitsregime","in registratie sinds","tijdstip veldonderzoek","pomptype","buis",,,,
"GAR000000055565","IMBRO/A","2025-04-10T18:21:55+02:00","1992-12-07T11:00:00+01:00","onbekend","2",,,,
,,,,,,,,,
"parameter","sikb-id","aquo-code","analysedatum","analysemeetwaarde","eenheid meerwaarde","rapportagegrens","eenheid rapportagegres","limietsymbool","status kwaliteitscontrole"
"chloride","508","Cl","1992-12-07","28.0","mg/l",,,,"goedgekeurd"
"nitraat","1270","NO3","1992-12-07","5.31","mg/l",,,"<","goedgekeurd"
"sulfaat","1508","SO4","1992-12-07","129.0","mg/l",,,,"goedgekeurd"
"Geleidendheid","3548","GELDHD","1992-12-07","120.0","mS/m",,,,"goedgekeurd"
"waterstofcarbonaat","374","HCO3","1992-12-07","466.0","mg/l",,,,"goedgekeurd"
,,,,,,,,,
