"BRO-ID","kwaliteitsregime","in registratie sinds","tijdstip veldonderzoek","pomptype","buis",,,,
"GAR000000000341","IMBRO/A","2022-11-25T10:40:39+01:00","2003-01-01T11:00:00+01:00","onbekend","3",,,,
,,,,,,,,,
"parameter","sikb-id","aquo-code","analysemeetwaarde","eenheid meetwaarde","status kwaliteitscontrole",,,,
"Temperatuur","1522","T","11.5","Cel","goedgekeurd",,,,
,,,,,,,,,
"parameter","sikb-id","aquo-code","analysedatum","analysemeetwaarde","eenheid meerwaarde","rapportagegrens","eenheid rapportagegres","limietsymbool","status kwaliteitscontrole"
"magnesium","1125","Mg","2003-01-01","3.06","mg/l",,,,"goedgekeurd"
"Geleidendheid","3548","GELDHD","2003-01-01","25.9","mS/m",,,,"goedgekeurd"
"Zuurgraad","1398","pH","2003-01-01","7.74","1",,,,"goedgekeurd"
"aluminium","284","Al","2003-01-01","15.65","ug/l",,,,"goedgekeurd"
"arseen","310","As","2003-01-01","0.13","ug/l",,,,"goedgekeurd"
"cadmium","441","Cd","2003-01-01","0.01","ug/l",,,,"goedgekeurd"
"koper","971","Cu","2003-01-01","0.1","ug/l",,,"<","goedgekeurd"
"ijzer","879","Fe","2003-01-01","723.2","ug/l",,,,"goedgekeurd"
"kalium","920","K","2003-01-01","1.02","mg/l",,,,"goedgekeurd"
"calcium","447","Ca","2003-01-01","43.0","mg/l",,,,"goedgekeurd"
"mangaan","1128","Mn","2003-01-01","129.08","ug/l",,,,"goedgekeurd"
"natrium","1262","Na","2003-01-01","5.62","mg/l",,,,"goedgekeurd"
"ammonium","289","NH4","2003-01-01","1.29","mg/l",,,,"onbeslist"
"nikkel","1267","Ni","2003-01-01","0.1","ug/l",,,"<","goedgekeurd"
"nitraat","1270","NO3","2003-01-01","1.02","mg/l",,,,"goedgekeurd"
"zuurstof","1701","O2","2003-01-01","0.05","mg/l",,,,"goedgekeurd"
"lood","1116","Pb","2003-01-01","0.01","ug/l",,,"<","goedgekeurd"
"fosfor totaal","4188","Ptot","2003-01-01","0.11","mg/l",,,,"goedgekeurd"
"sulfaat","1508","SO4","2003-01-01","7.69","mg/l",,,,"goedgekeurd"
"waterstofcarbonaat","374","HCO3","2003-01-01","137.93","mg/l",,,,"goedgekeurd"
"chloride","508","Cl","2003-01-01","8.36","mg/l",,,,"goedgekeurd"
"zink","1693","Zn","2003-01-01","14.25","ug/l",,,,"goedgekeurd"
,,,,,,,,,
