"BRO-ID","kwaliteitsregime","in registratie sinds","tijdstip veldonderzoek","pomptype","buis",,,,
"GAR000000004540","IMBRO/A","2022-12-02T19:50:14+01:00","1961-02-10T11:00:00+01:00","onbekend","1",,,,
,,,,,,,,,
"parameter","sikb-id","aquo-code","analysemeetwaarde","eenheid meetwaarde","status kwaliteitscontrole",,,,
"waterstofcarbonaat","374","HCO3","110.0","mg/l","goedgekeurd",,,,
,,,,,,,,,
"parameter","sikb-id","aquo-code","analysedatum","analysemeetwaarde","eenheid meerwaarde","rapportagegrens","eenheid rapportagegres","limietsymbool","status kwaliteitscontrole"
"chloride","508","Cl","1961-02-10","14.0","mg/l",,,,"goedgekeurd"
"sulfaat","1508","SO4","1961-02-10","13.8","mg/l",,,,"goedgekeurd"
"ammonium","289","NH4","1961-02-10","0.1","mg/l",,,,"goedgekeurd"
"nitraat","1270","NO3","1961-02-10","0.0045","mg/l",,,"<","goedgekeurd"
,,,,,,,,,
