"BRO-ID","kwaliteitsregime","in registratie sinds","tijdstip veldonderzoek","pomptype","buis",,,,
"GAR000000027867","IMBRO/A","2023-01-13T10:10:33+01:00","1981-03-10T12:00:00+01:00","onderwaterpomp","2",,,,
,,,,,,,,,
"parameter","sikb-id","aquo-code","analysedatum","analysemeetwaarde","eenheid meerwaarde","rapportagegrens","eenheid rapportagegres","limietsymbool","status kwaliteitscontrole"
"chloride","508","Cl","1981-03-10","1100.0","mg/l",,,,"goedgekeurd"
"Geleidendheid","3548","GELDHD","1981-03-10","451.98","mS/m",,,,"goedgekeurd"
"Zuurgraad","1398","pH","1981-03-10","6.7","1",,,,"goedgekeurd"
"waterstofcarbonaat","374","HCO3","1981-03-10","556.0","mg/l",,,,"goedgekeurd"
"fosfor totaal","4188","Ptot","1981-03-10","0.53","mg/l",,,,"goedgekeurd"
"sulfaat","1508","SO4","1981-03-10","3.0","mg/l",,,,"goedgekeurd"
"kalium","920","K","1981-03-10","7.0","mg/l",,,,"goedgekeurd"
"magnesium","1125","Mg","1981-03-10","35.0","mg/l",,,,"goedgekeurd"
"ammonium","289","NH4","1981-03-10","14.0","mg/l",,,,"goedgekeurd"
"natrium","1262","Na","1981-03-10","520.0","mg/l",,,,"goedgekeurd"
"koolstof organisch","1318","Corg","1981-03-10","16.0","mg/l",,,,"goedgekeurd"
"calcium","447","Ca","1981-03-10","250.0","mg/l",,,,"goedgekeurd"
"nitraat","1270","NO3","1981-03-10","0.1","mg/l",,,"<","goedgekeurd"
,,,,,,,,,
