"BRO-ID","kwaliteitsregime","in registratie sinds","tijdstip veldonderzoek","pomptype","buis",,,,
"GAR000000005144","IMBRO/A","2022-12-02T21:11:58+01:00","1937-02-17T10:00:00Z","onbekend","2",,,,
,,,,,,,,,
"parameter","sikb-id","aquo-code","analysemeetwaarde","eenheid meetwaarde","status kwaliteitscontrole",,,,
"waterstofcarbonaat","374","HCO3","280.0","mg/l","onbeslist",,,,
,,,,,,,,,
"parameter","sikb-id","aquo-code","analysedatum","analysemeetwaarde","eenheid meerwaarde","rapportagegrens","eenheid rapportagegres","limietsymbool","status kwaliteitscontrole"
"magnesium","1125","Mg","1937-02-17","85.0","mg/l",,,,"goedgekeurd"
"sulfaat","1508","SO4","1937-02-17","17.7","mg/l",,,,"goedgekeurd"
"natrium","1262","Na","1937-02-17","830.0","mg/l",,,,"goedgekeurd"
"calcium","447","Ca","1937-02-17","260.0","mg/l",,,,"goedgekeurd"
"chloride","508","Cl","1937-02-17","1234.0","mg/l",,,,"goedgekeurd"
,,,,,,,,,
